,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
181,RCOM,EQ,2018-02-01,29.45,29.45,29.9,28.4,28.65,28.6,29.01,61128408,1773114779.1,62722,6579552,10.76,2,2018,24.31375530602348,-0.028862478777589073,Slight or No change
182,RCOM,EQ,2018-02-02,28.6,28.0,28.25,24.5,26.2,26.1,26.59,98805318,2626758806.25,98173,11386603,11.52,2,2018,24.327172770066785,-0.0874125874125874,Slight or No change
183,RCOM,EQ,2018-02-05,26.1,24.75,26.75,22.95,26.35,26.25,25.56,93472759,2389178871.95,86780,8023354,8.58,2,2018,24.340740251832944,0.005747126436781658,Slight or No change
184,RCOM,EQ,2018-02-06,26.25,24.4,25.4,23.7,24.45,24.55,24.61,69365330,1707262224.45,65962,9036574,13.03,2,2018,24.34183027055046,-0.06476190476190469,Slight or No change
185,RCOM,EQ,2018-02-07,24.55,25.0,26.05,24.75,25.15,25.15,25.25,70231788,1773643764.8,57946,9121298,12.99,2,2018,24.346070190509355,0.024439918533604832,Slight or No change
186,RCOM,EQ,2018-02-08,25.15,25.5,27.25,25.2,26.8,26.55,26.42,110606868,2922254514.7,92380,9586838,8.67,2,2018,24.364130602705448,0.055666003976143186,Slight or No change
187,RCOM,EQ,2018-02-09,26.55,25.4,28.0,25.25,26.95,27.0,26.69,104526292,2789943844.3,83658,6756435,6.46,2,2018,24.384386288607153,0.016949152542372836,Slight or No change
188,RCOM,EQ,2018-02-12,27.0,27.1,27.95,26.8,27.15,27.1,27.39,72132568,1976043699.6,58381,5876386,8.15,2,2018,24.3987114621273,0.0037037037037037646,Slight or No change
189,RCOM,EQ,2018-02-14,27.1,27.55,30.2,27.5,29.3,29.6,29.18,175737302,5128456520.5,143521,14660899,8.34,2,2018,24.464709267668358,0.09225092250922518,Slight or No change
190,RCOM,EQ,2018-02-15,29.6,29.45,30.55,27.55,27.9,27.95,29.04,110290749,3203043093.7,90376,13430564,12.18,2,2018,24.492244450664415,-0.05574324324324331,Slight or No change
191,RCOM,EQ,2018-02-16,27.95,28.4,29.0,27.6,28.45,28.35,28.25,84858890,2397531463.5,77373,5048363,5.95,2,2018,24.51555271783121,0.014311270125223707,Slight or No change
192,RCOM,EQ,2018-02-19,28.35,28.95,29.0,27.75,28.4,28.45,28.4,65756683,1867589382.25,53211,5303570,8.07,2,2018,24.53388738397258,0.003527336860670083,Slight or No change
193,RCOM,EQ,2018-02-20,28.45,28.6,28.9,27.55,28.0,27.85,28.08,54181125,1521545190.4,45058,4907446,9.06,2,2018,24.546571561143214,-0.02108963093145866,Slight or No change
194,RCOM,EQ,2018-02-21,27.85,28.05,28.4,27.55,28.1,28.0,27.98,53366023,1493087070.4,40342,4014624,7.52,2,2018,24.559533417171583,0.0053859964093356805,Slight or No change
195,RCOM,EQ,2018-02-22,28.0,27.95,28.35,27.15,27.3,27.35,27.77,48059301,1334477768.3,38749,6508890,13.54,2,2018,24.56893369493097,-0.023214285714285632,Slight or No change
196,RCOM,EQ,2018-02-23,27.35,27.5,27.95,27.4,27.55,27.6,27.64,33561141,927584503.7,28787,5999958,17.88,2,2018,24.576047436795015,0.009140767824497242,Slight or No change
197,RCOM,EQ,2018-02-26,27.6,27.85,30.95,27.6,29.65,29.75,29.58,146393665,4330214614.55,124226,19929895,13.61,2,2018,24.628478328762284,0.0778985507246377,Slight or No change
198,RCOM,EQ,2018-02-27,29.75,29.9,30.1,27.8,27.95,28.0,28.65,77599689,2222971086.9,62259,11565797,14.9,2,2018,24.64649198411757,-0.05882352941176472,Slight or No change
199,RCOM,EQ,2018-02-28,28.0,27.85,28.9,26.5,28.3,28.35,28.05,82662554,2319080099.55,72547,11093293,13.42,2,2018,24.667451114211207,0.012499999999999956,Slight or No change
200,RCOM,EQ,2018-03-01,28.35,28.05,29.4,27.7,27.95,27.9,28.27,81087484,2292523809.35,61053,5946713,7.33,3,2018,24.68529731533485,-0.015873015873015928,Slight or No change
201,RCOM,EQ,2018-03-05,27.9,28.15,28.55,27.1,27.6,27.75,27.85,67491872,1879518924.9,48726,6791746,10.06,3,2018,24.699315623681645,-0.005376344086021501,Slight or No change
202,RCOM,EQ,2018-03-06,27.75,27.55,28.7,25.0,25.95,26.35,27.56,97104804,2676041846.85,71822,10551682,10.87,3,2018,24.71010786837587,-0.05045045045045038,Slight or No change
203,RCOM,EQ,2018-03-07,26.35,26.35,26.75,24.4,25.3,25.2,25.66,103582731,2657655290.4,79882,9462475,9.14,3,2018,24.71350081091515,-0.0436432637571158,Slight or No change
204,RCOM,EQ,2018-03-08,25.2,26.0,26.7,24.35,25.1,25.1,25.31,111977377,2833740828.8,89997,6655658,5.94,3,2018,24.716373099200617,-0.003968253968253843,Slight or No change
205,RCOM,EQ,2018-03-09,25.1,25.0,25.0,21.65,22.65,22.7,23.64,106099484,2508717431.75,99371,14585484,13.75,3,2018,24.70227417526568,-0.09561752988047811,Slight or No change
206,RCOM,EQ,2018-03-12,22.7,23.0,23.45,21.8,23.0,23.0,22.63,76366808,1727951036.35,70588,8577025,11.23,3,2018,24.693749934055393,0.013215859030837107,Slight or No change
207,RCOM,EQ,2018-03-13,23.0,22.05,23.65,22.05,23.5,23.35,23.07,80956215,1867849259.8,59173,7580374,9.36,3,2018,24.68665430541043,0.01521739130434785,Slight or No change
208,RCOM,EQ,2018-03-14,23.35,23.1,24.45,22.65,23.7,23.8,23.66,87140379,2061856922.5,73323,4987805,5.72,3,2018,24.681643188577873,0.01927194860813697,Slight or No change
209,RCOM,EQ,2018-03-15,23.8,23.7,24.25,23.4,23.45,23.6,23.78,45481906,1081622657.85,42627,5209196,11.45,3,2018,24.67846189157473,-0.008403361344537785,Slight or No change
210,RCOM,EQ,2018-03-16,23.6,23.7,24.4,22.8,23.65,23.45,23.6,67745076,1598721283.65,58709,13605107,20.08,3,2018,24.67310364696453,-0.006355932203389925,Slight or No change
211,RCOM,EQ,2018-03-19,23.45,23.8,24.05,22.7,22.95,23.0,23.17,43793755,1014553890.35,39866,4084265,9.33,3,2018,24.66839934373638,-0.019189765458422103,Slight or No change
212,RCOM,EQ,2018-03-20,23.0,22.7,23.5,22.5,23.1,23.1,23.01,35334974,813077338.95,28719,4375664,12.38,3,2018,24.66484926843926,0.004347826086956497,Slight or No change
213,RCOM,EQ,2018-03-21,23.1,23.05,26.55,23.05,25.2,25.3,24.79,135184902,3350679282.45,108807,15999809,11.84,3,2018,24.67030228036698,0.09523809523809512,Slight or No change
214,RCOM,EQ,2018-03-22,25.3,25.55,26.3,23.5,23.6,23.8,24.83,132481098,3289452366.35,112794,11154720,8.42,3,2018,24.663040940383823,-0.059288537549407105,Slight or No change
215,RCOM,EQ,2018-03-23,23.8,22.5,23.5,22.0,22.65,22.7,22.76,87934691,2000974196.9,71722,19148389,21.78,3,2018,24.65222949291904,-0.04621848739495804,Slight or No change
216,RCOM,EQ,2018-03-26,22.7,23.0,23.85,22.6,23.55,23.4,23.18,70351988,1630640269.2,47911,9803803,13.94,3,2018,24.646736043466415,0.03083700440528636,Slight or No change
217,RCOM,EQ,2018-03-27,23.4,23.9,24.2,23.25,23.6,23.8,23.76,49713895,1181263503.65,42165,5780677,11.63,3,2018,24.644119268148316,0.017094017094017255,Slight or No change
218,RCOM,EQ,2018-03-28,23.8,23.3,23.35,21.45,21.75,21.75,22.29,73568656,1640209591.95,66452,17481506,23.76,3,2018,24.630943735066552,-0.08613445378151263,Slight or No change
219,RCOM,EQ,2018-04-02,21.75,22.2,22.8,21.9,22.45,22.5,22.42,51269162,1149588657.2,35531,8285090,16.16,4,2018,24.62420448627204,0.034482758620689724,Slight or No change
220,RCOM,EQ,2018-04-03,22.5,22.1,22.9,22.1,22.55,22.6,22.52,54774982,1233649854.4,36312,9496478,17.34,4,2018,24.617388087595955,0.004444444444444473,Slight or No change
221,RCOM,EQ,2018-04-04,22.6,22.8,23.4,21.65,22.35,22.3,22.56,104844949,2364848294.05,70320,11979964,11.43,4,2018,24.60254670646209,-0.013274336283185861,Slight or No change
222,RCOM,EQ,2018-04-05,22.3,22.7,24.2,21.7,23.0,23.3,23.16,226743188,5251093997.2,119151,47081879,20.76,4,2018,24.584752373513,0.04484304932735417,Slight or No change
223,RCOM,EQ,2018-04-06,23.3,23.75,25.2,23.5,24.05,24.35,24.3,177989437,4324603472.85,130138,18389599,10.33,4,2018,24.582261647875196,0.04506437768240357,Slight or No change
224,RCOM,EQ,2018-04-09,24.35,24.35,24.7,23.7,23.85,23.8,24.12,64847132,1563842313.25,51351,9169847,14.14,4,2018,24.57924941234754,-0.022587268993839893,Slight or No change
225,RCOM,EQ,2018-04-10,23.8,23.9,24.05,22.8,23.25,23.25,23.32,64851050,1512482252.7,45480,7513840,11.59,4,2018,24.574150231819473,-0.02310924369747902,Slight or No change
226,RCOM,EQ,2018-04-11,23.25,23.2,23.3,22.75,22.85,22.85,22.97,48786861,1120759173.9,31620,9899316,20.29,4,2018,24.569188841917022,-0.017204301075268713,Slight or No change
227,RCOM,EQ,2018-04-12,22.85,22.85,23.1,22.1,22.4,22.25,22.53,44307829,998086188.1,36844,7668959,17.31,4,2018,24.563143672775766,-0.026258205689277947,Slight or No change
